Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/kafkaimporter.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers,DELETE,com.nokia.eda.kafkaimporter.v1alpha1.ClusterConsumerList,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers,GET,com.nokia.eda.kafkaimporter.v1alpha1.ClusterConsumerList,cluster_consumer_list,true,true,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers,POST,com.nokia.eda.kafkaimporter.v1alpha1.ClusterConsumer,cluster_consumer,true,false,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/_deleted,GET,com.nokia.eda.kafkaimporter.v1alpha1.ClusterConsumer_DeletedResources,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name},DELETE,Status,cluster_consumer,true,false,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name},GET,com.nokia.eda.kafkaimporter.v1alpha1.ClusterConsumer,cluster_consumer,true,true,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name},PATCH,Patch,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name},PUT,com.nokia.eda.kafkaimporter.v1alpha1.ClusterConsumer,cluster_consumer,true,false,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/clusterconsumers/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/consumers,GET,com.nokia.eda.kafkaimporter.v1alpha1.ConsumerList,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers,DELETE,com.nokia.eda.kafkaimporter.v1alpha1.ConsumerList,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers,GET,com.nokia.eda.kafkaimporter.v1alpha1.ConsumerList,consumer_list,true,true,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers,POST,com.nokia.eda.kafkaimporter.v1alpha1.Consumer,consumer,true,false,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/_deleted,GET,com.nokia.eda.kafkaimporter.v1alpha1.Consumer_DeletedResources,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name},DELETE,Status,consumer,true,false,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name},GET,com.nokia.eda.kafkaimporter.v1alpha1.Consumer,consumer,true,true,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name},PATCH,Patch,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name},PUT,com.nokia.eda.kafkaimporter.v1alpha1.Consumer,consumer,true,false,true
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/kafkaimporter.eda.nokia.com/v1alpha1/namespaces/{namespace}/consumers/{name}/_topology,POST,K8STopologyRequest,,false,false,false
